airport_iata,airport_name,city_iata,utc_offset,timezone_id
LYB,Little Cayman Edward Bodden,LYB,-05:00,America/Cayman
LYC,Lycksele,LYC,+01:00,Europe/Stockholm
LYE,Raf Lyneham,LYE,+00:00,Europe/London
LYG,Lianyungang Huaguoshan,LYG,+08:00,Asia/Shanghai
LYH,Lynchburg,LYH,-05:00,America/New_York
LYI,Linyi,LYI,+08:00,Asia/Shanghai
LYK,Sumbawa Lunyuk,SWQ,+08:00,Asia/Makassar
LYN,Lyon Bron Apt,LYS,+01:00,Europe/Paris
LYO,Lyons Rice County,LYO,-06:00,America/Chicago
LYP,Faisalabad,LYP,+05:00,Asia/Karachi
LYR,Longyearbyen,LYR,+01:00,Europe/Oslo
LYS,Lyon,LYS,+01:00,Europe/Paris
LYT,Lady Elliot Island,LYT,+10:00,Australia/Brisbane
LYU,Ely Municipal,LYU,-06:00,America/Chicago
LYX,Lydd London Ashford,LYX,+00:00,Europe/London
LZA,Luiza,LZA,+02:00,Africa/Lubumbashi
LZB,Leon Bus Station,LEN,+01:00,Europe/Madrid
LZC,Lazaro Cardenas La Villita,LZC,-06:00,America/Mexico_City
LZD,Lanzhou Rail Station,LHW,+08:00,Asia/Shanghai
LZG,Langzhong Gucheng,LZG,+08:00,Asia/Shanghai
LZH,Liuzhou,LZH,+08:00,Asia/Shanghai
LZI,Luozi,LZI,+01:00,Africa/Kinshasa
LZM,Luzamba,LZM,+01:00,Africa/Luanda
LZN,Matsu (Nangan),LZN,+08:00,Asia/Taipei
LZO,Luzhou Yunlong,LZO,+08:00,Asia/Shanghai
LZR,Lizard Island,LZR,+10:00,Australia/Brisbane
LZS,Linz Railway Station,LNZ,+01:00,Europe/Vienna
LZU,Lawrenceville Gwinnett County,LZU,-05:00,America/New_York
LZX,Lanzhou West Rail Station,LHW,+08:00,Asia/Shanghai
LZY,Nyingchi/Linzhi Mainling/Milin,LZY,+08:00,Asia/Shanghai
MAA,Chennai,MAA,+05:30,Asia/Kolkata
MAB,Maraba Joao Carrea Da Rocha,MAB,-03:00,America/Araguaina
MAC,Macon Downtown Apt,MCN,-05:00,America/New_York
MAD,Madrid,MAD,+01:00,Europe/Madrid
MAE,Madera Municipal,MAE,-08:00,America/Los_Angeles
MAF,Midland Odessa,MAF,-06:00,America/Chicago
MAG,Madang,MAG,+10:00,Pacific/Port_Moresby
MAH,Menorca,MAH,+01:00,Europe/Madrid
MAI,Mangochi,MAI,+02:00,Africa/Blantyre
MAJ,Majuro Amata Kabua International,MAJ,+12:00,Pacific/Majuro
MAK,Malakal,MAK,+02:00,Africa/Juba
MAL,Mangole Falabisahaya,MAL,+09:00,Asia/Jayapura
MAM,Matamoros Servando Canales Intl,MAM,-06:00,America/Matamoros
MAN,Manchester (UK),MAN,+00:00,Europe/London
MAO,Manaus,MAO,-04:00,America/Porto_Velho
MAP,Mamai,MAP,+10:00,Pacific/Port_Moresby
MAQ,Mae Sot,MAQ,+07:00,Asia/Bangkok
MAR,Maracaibo,MAR,-04:00,America/Caracas
MAS,Manus Island Momote,MAS,+10:00,Pacific/Port_Moresby
MAT,Matadi Tshimpi,MAT,+01:00,Africa/Kinshasa
MAU,Maupiti Island,MAU,-10:00,Pacific/Tahiti
MAV,Maloelap Atoll Taroa Island,MAV,+12:00,Pacific/Majuro
MAW,Malden Regional,MAW,-06:00,America/Chicago
MAX,Matam,MAX,+00:00,Africa/Dakar
MAY,Mangrove Cay Clarence A. Bain,MAY,-05:00,America/Nassau
MAZ,Mayaguez Eugenio M. De Hostos,MAZ,-04:00,America/Puerto_Rico
MBA,Mombasa,MBA,+03:00,Africa/Nairobi
MBB,Marble Bar,MBB,+08:00,Australia/Perth
MBC,M'bigou,MBC,+01:00,Africa/Libreville
MBD,Mmabatho/Mafikeng International,MBD,+02:00,Africa/Johannesburg
MBE,Monbetsu,MBE,+09:00,Asia/Tokyo
MBF,Mount Buffalo Porepunkah,MBF,+10:00,Australia/Sydney
MBG,Mobridge Municipal,MBG,-06:00,America/Chicago
MBH,Maryborough,MBH,+10:00,Australia/Brisbane
MBI,Mbeya,MBI,+03:00,Africa/Dar_es_Salaam
MBJ,Montego Bay,MBJ,-05:00,America/Jamaica
MBK,Matupa Orlando Villas-Boas,MBK,-04:00,America/Porto_Velho
MBL,Manistee Co.Blacker,MBL,-05:00,America/New_York
MBM,Mkambati,MBM,+02:00,Africa/Johannesburg
MBN,Mount Barnett,MBN,+08:00,Australia/Perth
MBO,Mamburao,MBO,+08:00,Asia/Manila
MBP,Moyobamba,MBP,-05:00,America/Lima
MBQ,Mbarara,MBQ,+03:00,Africa/Kampala
MBR,Mbout,MBR,+00:00,Africa/Nouakchott
MBS,Saginaw,MBS,-05:00,America/New_York
MBT,Masbate,MBT,+08:00,Asia/Manila
MBU,Mbambanakira,MBU,+11:00,Pacific/Guadalcanal
MBV,Masa,MBV,+10:00,Pacific/Port_Moresby
MBW,Moorabbin,MEL,+10:00,Australia/Sydney
MBX,Maribor Edvard Rusjan,MBX,+01:00,Europe/Ljubljana
MBY,Moberly Omar N. Bradley,MBY,-06:00,America/Chicago
MBZ,Maues,MBZ,-04:00,America/Porto_Velho
MCA,Macenta,MCA,+00:00,Africa/Conakry
MCB,Mccomb Pike County,MCB,-06:00,America/Chicago
MCC,Sacramento Mcclellan,SAC,-08:00,America/Los_Angeles
MCD,Mackinac Island,MCD,-05:00,America/New_York
MCE,Merced Regional Apt,MCE,-08:00,America/Los_Angeles
MCF,Tampa Macdill Afb,TPA,-05:00,America/New_York
MCG,Mcgrath,MCG,-09:00,America/Anchorage
MCH,Machala General Manuel Serrano,MCH,-05:00,America/Guayaquil
MCI,Kansas City,MKC,-06:00,America/Chicago
MCJ,Maicao Jorge Isaacs,MCJ,-05:00,America/Bogota
MCK,Mccook Ben Nelson Regional,MCK,-06:00,America/Chicago
MCL,Mckinley National Park,MCL,-09:00,America/Anchorage
MCM,Monaco Heliport,MCM,+01:00,Europe/Monaco
MCN,Macon Middle Georgia Regional Apt,MCN,-05:00,America/New_York
MCO,Orlando,ORL,-05:00,America/New_York
MCP,Macapa Alberto Alcolumbre Intl,MCP,-03:00,America/Araguaina
MCQ,Miskolc,MCQ,+01:00,Europe/Budapest
MCR,Singapore Marina Bay Cruise Center,SIN,+08:00,Asia/Singapore
MCS,Monte Caseros,MCS,-03:00,America/Argentina/Buenos_Aires
MCT,Muscat,MCT,+04:00,Asia/Muscat
MCU,Montlucon Gueret,MCU,+01:00,Europe/Paris
MCV,Mcarthur River Mine,MCV,+09:30,Australia/Darwin
MCW,Mason City Municipal,MCW,-06:00,America/Chicago
MCX,Makhachkala Uytash,MCX,+03:00,Europe/Moscow
MCY,Sunshine Coast Maroochydore,MCY,+10:00,Australia/Brisbane
MCZ,Maceio,MCZ,-03:00,America/Araguaina
MDA,San Antonio Martindale Ahp,SAT,-06:00,America/Chicago
MDB,Melinda,MDB,-06:00,America/Belize
MDC,Manado,MDC,+08:00,Asia/Makassar
MDD,Midland Airpark,MAF,-06:00,America/Chicago
MDE,Medellin,MDE,-05:00,America/Bogota
MDF,Medford Taylor County,MDF,-06:00,America/Chicago
MDG,Mudanjiang Hailang,MDG,+08:00,Asia/Shanghai
MDH,Carbondale/Murphysboro Southern Illinoi,MDH,-06:00,America/Chicago
MDI,Makurdi,MDI,+01:00,Africa/Lagos
MDJ,Madras Municipal,MDJ,-08:00,America/Los_Angeles
MDK,Mbandaka,MDK,+01:00,Africa/Kinshasa
MDL,Mandalay,MDL,+06:30,Asia/Yangon
MDM,Munduku,MDM,+10:00,Pacific/Port_Moresby
MDN,Madison Municipal,MDN,-05:00,America/New_York
MDO,Middleton Island,MDO,-09:00,America/Anchorage
MDP,Mindiptana,MDP,+09:00,Asia/Jayapura
MDQ,Mar Del Plata Astor Piazzola,MDQ,-03:00,America/Argentina/Buenos_Aires
MDR,Maasai Mara Musiara,MRE,+03:00,Africa/Nairobi
MDS,Middle Caicos,MDS,-05:00,America/Grand_Turk
MDT,Harrisburg,HAR,-05:00,America/New_York
MDU,Mendi,MDU,+10:00,Pacific/Port_Moresby
MDV,Medouneu,MDV,+01:00,Africa/Libreville
MDW,Chicago Midway,CHI,-06:00,America/Chicago
MDX,Mercedes,MDX,-03:00,America/Argentina/Buenos_Aires
MDY,Sand Island Henderson Field,MDY,-11:00,Pacific/Midway
MDZ,Mendoza,MDZ,-03:00,America/Argentina/Buenos_Aires
MEA,Macae Benedito Lacerda,MEA,-03:00,America/Araguaina
MEB,Melbourne Essendon Apt,MEL,+10:00,Australia/Sydney
MEC,Manta Eloy Alfaro Intl,MEC,-05:00,America/Guayaquil
MED,Madinah Prince Mohammad Bin Abdulaziz,MED,+03:00,Asia/Riyadh
MEE,Mare La Roche,MEE,+11:00,Pacific/Noumea
MEF,Melfi,MEF,+01:00,Africa/Ndjamena
MEG,Malange,MEG,+01:00,Africa/Luanda
MEH,Mehamn,MEH,+01:00,Europe/Oslo
MEI,Meridian Regional (Key Field),MEI,-06:00,America/Chicago
MEJ,Port Meadville,MEJ,-05:00,America/New_York
MEK,Meknes Royal Afb,MEK,+01:00,Africa/Casablanca
MEL,Melbourne (AU),MEL,+10:00,Australia/Sydney
MEM,Memphis,MEM,-06:00,America/Chicago
MEN,Mende Brenoux,MEN,+01:00,Europe/Paris
MEO,Manteo,MEO,-05:00,America/New_York
MEP,Mersing,MEP,+08:00,Asia/Kuching
MEQ,Cut Nyak Dien Nagan Raya,MEQ,+07:00,Asia/Pontianak
MER,Merced Castle,MCE,-08:00,America/Los_Angeles
MES,Medan,MES,+07:00,Asia/Pontianak
MET,Moreton,MET,+10:00,Australia/Brisbane
MEU,Monte Dourado Serra Do Areao,MEU,-03:00,America/Araguaina
MEV,Minden-Tahoe,MEV,-08:00,America/Los_Angeles
MEW,Mweka,MEW,+02:00,Africa/Lubumbashi
MEX,Mexico/Juarez,MEX,-06:00,America/Mexico_City
MEY,Meghauli,MEY,+05:45,Asia/Kathmandu
MEZ,Messina,MEZ,+02:00,Africa/Johannesburg
MFA,Mafia Island,MFA,+03:00,Africa/Dar_es_Salaam
MFB,Monfort,MFB,-05:00,America/Bogota
MFC,Mafeteng,MFC,+02:00,Africa/Maseru
MFD,Mansfield Lahm Regional,MFD,-05:00,America/New_York
MFE,Mcallen,MFE,-06:00,America/Chicago
MFF,Moanda,MFF,+01:00,Africa/Libreville
MFG,Muzaffarabad,MFG,+05:00,Asia/Karachi
MFH,Mesquite,MFH,-08:00,America/Los_Angeles
MFI,Marshfield Municipal,MFI,-06:00,America/Chicago
MFJ,Moala Island,MFJ,+12:00,Pacific/Fiji
MFK,Matsu (Beigan),MFK,+08:00,Asia/Taipei
MFL,Wando Vale Mount Full Stop,MFL,+10:00,Australia/Brisbane
MFM,Macau International,MFM,+08:00,Asia/Shanghai
MFN,Milford Sound,MFN,+12:00,Pacific/Auckland
MFO,Manguna,MFO,+10:00,Pacific/Port_Moresby
MFP,Manners Creek Station,MFP,+09:30,Australia/Darwin
MFQ,Maradi,MFQ,+01:00,Africa/Niamey
MFR,Medford,MFR,-08:00,America/Los_Angeles
MFS,Miraflores,MFS,-05:00,America/Bogota
MFT,Machu Picchu,MFT,-05:00,America/Lima
MFU,Mfuwe,MFU,+02:00,Africa/Lusaka
MFV,Melfa,MFV,-05:00,America/New_York
MFW,Magaruque Island,MFW,+02:00,Africa/Maputo
MFX,Meribel,MFX,+01:00,Europe/Paris
MFY,Mayfa'ah,MFY,+03:00,Asia/Aden
MFZ,Meselia,MFZ,+10:00,Pacific/Port_Moresby
MGA,Managua,MGA,-06:00,America/Managua
MGB,Mount Gambier,MGB,+09:30,Australia/Adelaide
MGC,Michigan City Municipal,MGC,-06:00,America/Chicago
MGD,Magdalena,MGD,-04:00,America/La_Paz
MGE,Marietta Dobbins Arb,MGE,-05:00,America/New_York
MGF,Maringa,MGF,-03:00,America/Araguaina
MGG,Margarima,MGG,+10:00,Pacific/Port_Moresby
MGH,Margate,MGH,+02:00,Africa/Johannesburg
MGI,Matagorda Island Matagorda National Wil,MGI,-06:00,America/Chicago
MGJ,Montgomery Orange County,MGJ,-05:00,America/New_York
MGK,Mong Ton,MGK,+06:30,Asia/Yangon
MGL,Dusseldorf Moenchengladbach,DUS,+01:00,Europe/Berlin
MGM,Montgomery Dannelly Field,MGM,-06:00,America/Chicago
MGN,Magangue Baracoa,MGN,-05:00,America/Bogota
MGO,Manega,MGO,+01:00,Africa/Libreville
MGP,Manga,MGP,+10:00,Pacific/Port_Moresby
MGQ,Mogadishu Aden Adde Intl,MGQ,+03:00,Africa/Mogadishu
MGR,Moultrie Municipal Apt,MGR,-05:00,America/New_York
MGS,Mangaia Island Auau,MGS,-10:00,Pacific/Rarotonga
MGT,Milingimbi Island,MGT,+09:30,Australia/Darwin
MGU,Manaung,MGU,+06:30,Asia/Yangon
MGV,Margaret River Station,MGV,+08:00,Australia/Perth
MGW,Morgantown,MGW,-05:00,America/New_York
MGX,Moabi,MGX,+01:00,Africa/Libreville
MGY,Dayton Wright Brothers Apt,DAY,-05:00,America/New_York
MGZ,Myeik,MGZ,+06:30,Asia/Yangon
MHA,Mahdia,MHA,-04:00,America/Guyana
MHB,Auckland Mechanics Bay Spb,AKL,+12:00,Pacific/Auckland
MHC,Castro Mocopulli,WCA,-04:00,America/Santiago
MHD,Mashhad Shahid Hashemi Nejad,MHD,+03:30,Asia/Tehran
MHE,Mitchell Municipal,MHE,-06:00,America/Chicago
MHF,Morichal,MHF,-05:00,America/Bogota
MHG,Mannheim,MHG,+01:00,Europe/Berlin
MHH,Marsh Harbour,MHH,-05:00,America/Nassau
MHI,Moucha Island,MHI,+03:00,Africa/Djibouti
MHJ,Mannheim Central Station,MHG,+01:00,Europe/Berlin
MHK,Manhattan,MHK,-06:00,America/Chicago
MHL,Marshall Memorial-Municipal,MHL,-06:00,America/Chicago
MHM,Malaita Manaoba,MHM,+11:00,Pacific/Guadalcanal
MHN,Mullen Hooker County,MHN,-07:00,America/Denver
MHO,Mount House,MHO,+08:00,Australia/Perth
MHP,Minsk Apt -1,MSQ,+03:00,Europe/Minsk
MHQ,Mariehamn,MHQ,+02:00,Europe/Helsinki
MHR,Sacramento Mather,SAC,-08:00,America/Los_Angeles
MHS,Mount Shasta Dunsmuir Municipal,MHS,-08:00,America/Los_Angeles
MHT,Manchester (USA),MHT,-05:00,America/New_York
MHU,Mount Hotham,MHU,+10:00,Australia/Sydney
MHV,Mojave,MHV,-08:00,America/Los_Angeles
MHW,Monteagudo,MHW,-04:00,America/La_Paz
MHX,Manihiki Atoll,MHX,-10:00,Pacific/Rarotonga
MHY,Morehead,MHY,+10:00,Pacific/Port_Moresby
MHZ,Mildenhall,MHZ,+00:00,Europe/London
MIA,Miami,MIA,-05:00,America/New_York
MIB,Minot Afb,MOT,-06:00,America/Chicago
MIC,Minneapolis/St Paul Crystal Apt,MSP,-06:00,America/Chicago
MID,Merida,MID,-06:00,America/Mexico_City
MIE,Muncie Delaware County Regional,MIE,-05:00,America/New_York
MIF,Monahans Roy Hurd Memorial,MIF,-06:00,America/Chicago
MIG,Mian Yang,MIG,+08:00,Asia/Shanghai
MIH,Mitchell Plateau,MIH,+08:00,Australia/Perth
MII,Marilia Frank M. Milenkowichi,MII,-03:00,America/Araguaina
MIJ,Mili Island,MIJ,+12:00,Pacific/Majuro
MIK,Mikkeli,MIK,+02:00,Europe/Helsinki
MIM,Merimbula,MIM,+10:00,Australia/Sydney
MIN,Minnipa,MIN,+09:30,Australia/Adelaide
MIO,Miami Municipal,MIO,-06:00,America/Chicago
MIP,Mitspeh Ramon,MIP,+02:00,Asia/Jerusalem
MIQ,Omaha Millard Apt,OMA,-06:00,America/Chicago
MIR,Monastir Habib Bourguiba International,MIR,+01:00,Africa/Tunis
MIS,Misima Island,MIS,+10:00,Pacific/Port_Moresby
MIT,Shafter Minter Field,MIT,-08:00,America/Los_Angeles
MIU,Maiduguri International,MIU,+01:00,Africa/Lagos
MIV,Millville Municipal,MIV,-05:00,America/New_York
MIW,Marshalltown Municipal,MIW,-06:00,America/Chicago
MIX,Miriti Parana,MIX,-05:00,America/Bogota
MIY,Mittiebah,MIY,+09:30,Australia/Darwin
MIZ,Mainoru,MIZ,+09:30,Australia/Darwin
MJA,Manja,MJA,+03:00,Indian/Antananarivo
MJB,Mejit Island,MJB,+12:00,Pacific/Majuro
MJC,Man,MJC,+00:00,Africa/Abidjan
MJD,Mohenjodaro Mohen Jodaro,MJD,+05:00,Asia/Karachi
MJE,Majkin,MJE,+12:00,Pacific/Majuro
MJF,Mosjoen Kjaerstad,MJF,+01:00,Europe/Oslo
MJG,Mayajigua,MJG,-05:00,America/Havana
MJH,Majma,MJH,+03:00,Asia/Riyadh
MJI,Tripoli Mitiga,TIP,+02:00,Africa/Tripoli
MJJ,Moki,MJJ,+10:00,Pacific/Port_Moresby
MJK,Monkey Mia Shark Bay,MJK,+08:00,Australia/Perth
MJL,Mouila-Ville,MJL,+01:00,Africa/Libreville
MJM,Mbuji-Mayi,MJM,+02:00,Africa/Lubumbashi
MJN,Mahajanga Philibert Tsiranana,MJN,+03:00,Indian/Antananarivo
MJO,Mount Etjo,MJO,+02:00,Africa/Windhoek
MJP,Manjimup,MJP,+08:00,Australia/Perth
MJQ,Jackson Municipal,MJQ,-06:00,America/Chicago
MJR,Miramar,MJR,-03:00,America/Argentina/Buenos_Aires
MJS,Maganja Da Costa,MJS,+02:00,Africa/Maputo
MJT,Mytilene,MJT,+02:00,Europe/Athens
MJU,Mamuju Tampa Padang,MJU,+08:00,Asia/Makassar
MJV,Murcia San Javier,MJV,+01:00,Europe/Madrid
MJW,Mahenye,MJW,+02:00,Africa/Harare
MJX,Toms River Ocean County,MJX,-05:00,America/New_York
MJY,Mangunjaya,MJY,+07:00,Asia/Pontianak
MJZ,Mirny,MJZ,+09:00,Asia/Yakutsk
MKA,Marianske Lazne,MKA,+01:00,Europe/Prague
MKB,Mekambo,MKB,+01:00,Africa/Libreville
MKC,Kansas City Downtown,MKC,-06:00,America/Chicago
MKD,Macon Bus Station,QNX,+01:00,Europe/Paris
MKE,Milwaukee,MKE,-06:00,America/Chicago
MKF,Muenster/Osnabrueck Muenster Hbf,MKF,+01:00,Europe/Berlin
MKG,Muskegon,MKG,-05:00,America/New_York
MKH,Mokhotlong,MKH,+02:00,Africa/Maseru
MKI,Obo Mboki,MKI,+01:00,Africa/Bangui
MKJ,Makoua,MKJ,+01:00,Africa/Brazzaville
MKK,Hoolehua,MKK,-10:00,Pacific/Honolulu
MKL,Jackson Mckellar-Sipes Regional,MKL,-06:00,America/Chicago
MKM,Mukah,MKM,+08:00,Asia/Kuching
MKN,Malekolon,MKN,+10:00,Pacific/Port_Moresby
MKO,Muskogee Davis Field,MKO,-06:00,America/Chicago
MKP,Makemo,MKP,-10:00,Pacific/Tahiti
MKQ,Merauke Mopah,MKQ,+09:00,Asia/Jayapura
MKR,Meekatharra,MKR,+08:00,Australia/Perth
MKS,Mekane Selam,MKS,+03:00,Africa/Addis_Ababa
MKT,Mankato Regional,MKT,-06:00,America/Chicago
MKU,Makokou,MKU,+01:00,Africa/Libreville
MKV,Mount Cavenagh,MKV,+09:30,Australia/Darwin
MKW,Manokwari Rendani,MKW,+09:00,Asia/Jayapura
MKX,Mukalla,MKX,+03:00,Asia/Aden
MKY,Mackay,MKY,+10:00,Australia/Brisbane
MKZ,Malacca,MKZ,+08:00,Asia/Kuching
MLA,Malta,MLA,+01:00,Europe/Malta
MLB,Melbourne Florida (US),MLB,-05:00,America/New_York
MLC,Mcalester Regional,MLC,-06:00,America/Chicago
MLD,Malad City,MLD,-07:00,America/Denver
MLE,Male,MLE,+05:00,Indian/Maldives
MLF,Milford Municipal,MLF,-07:00,America/Denver
MLG,Malang Abdul Rachman Saleh,MLG,+07:00,Asia/Pontianak
MLH,Mulhouse,EAP,+01:00,Europe/Zurich
MLI,Moline,MLI,-06:00,America/Chicago
MLJ,Milledgeville Baldwin County,MLJ,-05:00,America/New_York
MLK,Malta,MLK,-07:00,America/Denver
MLL,Marshall Don Hunter Sr.,MLL,-09:00,America/Anchorage
MLM,Morelia,MLM,-06:00,America/Mexico_City
MLN,Melilla,MLN,+01:00,Europe/Madrid
MLO,Milos,MLO,+02:00,Europe/Athens
MLP,Malabang,MLP,+08:00,Asia/Manila
MLQ,Malalaua,MLQ,+10:00,Pacific/Port_Moresby
MLR,Millicent,MLR,+09:30,Australia/Adelaide
MLS,Miles City Frank Wiley Field,MLS,-07:00,America/Denver
MLT,Millinocket Municipal,MLT,-05:00,America/New_York
MLU,Monroe,MLU,-06:00,America/Chicago
MLV,Merluna,MLV,+10:00,Australia/Brisbane
MLW,Monrovia Spriggs Payne Apt,MLW,+00:00,Africa/Monrovia
MLX,Malatya Erhac,MLX,+03:00,Europe/Istanbul
MLY,Manley Hot Springs,MLY,-09:00,America/Anchorage
MLZ,Melo Cerro Largo,MLZ,-03:00,America/Montevideo
MMA,Malmo,MMA,+01:00,Europe/Stockholm
MMB,Memambetsu,MMB,+09:00,Asia/Tokyo
MMC,Ciudad Mante Cuauhtemoc Mante,MMC,-06:00,America/Mexico_City
MMD,Minamidaito,MMD,+09:00,Asia/Tokyo
MME,Durham Tees Valley,MME,+00:00,Europe/London
MMF,Mamfe,MMF,+01:00,Africa/Douala
MMG,Mount Magnet,MMG,+08:00,Australia/Perth
MMH,Mammoth Lakes,MMH,-08:00,America/Los_Angeles
MMI,Athens,MMI,-05:00,America/New_York
MMJ,Matsumoto,MMJ,+09:00,Asia/Tokyo
MMK,Murmansk,MMK,+03:00,Europe/Moscow
MML,Marshall Sw Minnesota Regional,MML,-06:00,America/Chicago
MMM,Middlemount,MMM,+10:00,Australia/Brisbane
MMN,Stow Minute Man Airfield,MMN,-05:00,America/New_York
MMO,Maio Island,MMO,-01:00,Atlantic/Cape_Verde
MMP,Mompos San Bernardo,MMP,-05:00,America/Bogota
MMQ,Mbala,MMQ,+02:00,Africa/Lusaka
MMR,Mabry Arng Heliport,AUS,-06:00,America/Chicago
MMS,Marks Selfs,MMS,-06:00,America/Chicago
MMT,Columbia Mcentire Jngb,CAE,-05:00,America/New_York
MMU,Morristown Municipal,MMU,-05:00,America/New_York
MMV,Mal,MMV,+10:00,Pacific/Port_Moresby
MMW,Moma,MMW,+02:00,Africa/Maputo
MMX,Malmo Sturup,MMA,+01:00,Europe/Stockholm
MMY,Miyako,MMY,+09:00,Asia/Tokyo
MMZ,Maimanah,MMZ,+04:30,Asia/Kabul
MNA,Melangguane,MNA,+08:00,Asia/Makassar
MNB,Muanda,MNB,+01:00,Africa/Kinshasa
MNC,Nacala,MNC,+02:00,Africa/Maputo
MND,Medina,MND,-05:00,America/Bogota
MNE,Mungeranie,MNE,+09:30,Australia/Adelaide
MNF,Mana Island,MNF,+12:00,Pacific/Fiji
MNG,Maningrida,MNG,+09:30,Australia/Darwin
MNH,Musanaa,MNH,+04:00,Asia/Muscat
MNI,Montserrat John A. Osborne,MNI,-04:00,America/Montserrat
MNJ,Mananjary,MNJ,+03:00,Indian/Antananarivo
MNK,Maiana,MNK,+12:00,Pacific/Tarawa
MNL,Manila Ninoy Aquino,MNL,+08:00,Asia/Manila
MNM,Menominee-Marinette,MNM,-06:00,America/Chicago
MNN,Marion Municipal,MNN,-05:00,America/New_York
MNO,Manono,MNO,+02:00,Africa/Lubumbashi
MNP,Maron,MNP,+10:00,Pacific/Port_Moresby
MNQ,Monto,MNQ,+10:00,Australia/Brisbane
MNR,Mongu,MNR,+02:00,Africa/Lusaka
MNS,Mansa,MNS,+02:00,Africa/Lusaka
MNT,Minto Al Wright,MNT,-09:00,America/Anchorage
MNU,Mawlamyine,MNU,+06:30,Asia/Yangon
MNV,Mount Valley,MNV,+09:30,Australia/Darwin
MNW,Macdonald Downs,MNW,+09:30,Australia/Darwin
MNX,Manicore,MNX,-04:00,America/Porto_Velho
MNY,Mono Island,MNY,+11:00,Pacific/Guadalcanal
MNZ,Manassas Regional,MNZ,-05:00,America/New_York
MOA,Moa Orestes Acosta,MOA,-05:00,America/Havana
MOB,Mobile,MOB,-06:00,America/Chicago
MOC,Montes Claros Mario Ribeiro,MOC,-03:00,America/Araguaina
MOD,Modesto,MOD,-08:00,America/Los_Angeles
MOE,Momeik,MOE,+06:30,Asia/Yangon
MOF,Maumere Fransiskus X.Seda,MOF,+08:00,Asia/Makassar
MOG,Mong Hsat,MOG,+06:30,Asia/Yangon
MOH,Morowali,MOH,+08:00,Asia/Makassar
MOI,Mitiaro Island Nukuroa,MOI,-10:00,Pacific/Rarotonga
MOJ,Moengo,MOJ,-03:00,America/Paramaribo
MOK,Muynaq,MOK,+05:00,Asia/Tashkent
MOL,Molde,MOL,+01:00,Europe/Oslo
MOM,Moudjeria Letfotar,MOM,+00:00,Africa/Nouakchott
MON,Mount Cook Apt,MON,+12:00,Pacific/Auckland
MOO,Moomba,MOO,+09:30,Australia/Adelaide
MOP,Mount Pleasant Municipal,MOP,-05:00,America/New_York
MOQ,Morondava,MOQ,+03:00,Indian/Antananarivo
MOR,Morristown Moore-Murrel,MOR,-05:00,America/New_York
MOS,Moses Point,MOS,-09:00,America/Anchorage
MOT,Minot,MOT,-06:00,America/Chicago
MOU,Mountain Village,MOU,-09:00,America/Anchorage
MOV,Moranbah,MOV,+10:00,Australia/Brisbane
MOX,Morris Municipal,MOX,-06:00,America/Chicago
MOY,Monterrey,MOY,-05:00,America/Bogota
MOZ,Moorea Temae,MOZ,-10:00,Pacific/Tahiti
MPA,Katima Mulilo Mpacha,MPA,+02:00,Africa/Windhoek
MPB,Miami Spb,MIA,-05:00,America/New_York
MPC,Muko-Muko,MPC,+07:00,Asia/Pontianak
MPD,Mirpur Khas,MPD,+05:00,Asia/Karachi
MPE,Madison Griswold,MPE,-05:00,America/New_York
MPF,Mapoda,MPF,+10:00,Pacific/Port_Moresby
MPG,Makini,MPG,+10:00,Pacific/Port_Moresby
MPH,Caticlan Godofredo P Ramos,MPH,+08:00,Asia/Manila
MPI,Mamitupo,MPI,-05:00,America/Panama
MPJ,Morrilton Petit Jean,MPJ,-06:00,America/Chicago
MPK,Mokpo,MPK,+09:00,Asia/Seoul
MPL,Montpellier,MPL,+01:00,Europe/Paris
MPM,Maputo,MPM,+02:00,Africa/Maputo
MPN,Mount Pleasant,MPN,-03:00,Atlantic/Stanley
MPO,Mount Pocono Pocono Mountains Municipal,MPO,-05:00,America/New_York
MPP,Mulatupo,MPP,-05:00,America/Panama
MPQ,Ma'an,MPQ,+02:00,Asia/Amman
MPR,Mcpherson,MPR,-06:00,America/Chicago
MPS,Mount Pleasant Regional,MPS,-06:00,America/Chicago
MPT,Maliana,MPT,+09:00,Asia/Dili
MPU,Mapua,MPU,+10:00,Pacific/Port_Moresby
MPV,Barre/Montpelier Edward F Knapp State,MPV,-05:00,America/New_York
MPW,Mariupol International,MPW,+02:00,Europe/Zaporozhye
MPX,Miyanmin,MPX,+10:00,Pacific/Port_Moresby
MPY,Maripasoula,MPY,-03:00,America/Cayenne
MPZ,Mount Pleasant Municipal,MPZ,-06:00,America/Chicago
MQA,Mandora Station,MQA,+08:00,Australia/Perth
MQB,Macomb Municipal,MQB,-06:00,America/Chicago
MQC,Miquelon,MQC,-03:00,America/Miquelon
MQD,Maquinchao,MQD,-03:00,America/Argentina/Buenos_Aires
MQE,Marqua,MQE,+09:30,Australia/Darwin
MQF,Magnitogorsk,MQF,+05:00,Asia/Yekaterinburg
MQG,Midgard,MQG,+02:00,Africa/Windhoek
MQH,Minacu,MQH,-03:00,America/Araguaina
MQI,Quincy,MQI,-05:00,America/New_York
MQJ,Khonuu Moma,MQJ,+11:00,Asia/Srednekolymsk
MQK,San Matias,MQK,-04:00,America/La_Paz
