airport_iata,airport_name,city_iata,utc_offset,timezone_id
EGM,Seghe,EGM,+11:00,Pacific/Guadalcanal
EGN,Geneina,EGN,+02:00,Africa/Khartoum
EGO,Belgorod,EGO,+03:00,Europe/Moscow
EGP,Eagle Pass Maverick Co. Mem. Intl,EGP,-06:00,America/Chicago
EGS,Egilsstadir,EGS,+00:00,Atlantic/Reykjavik
EGV,Eagle River Union,EGV,-06:00,America/Chicago
EGX,Egegik,EGX,-09:00,America/Anchorage
EHL,El Bolson,EHL,-03:00,America/Argentina/Buenos_Aires
EHM,Cape Newenham,EHM,-09:00,America/Anchorage
EHT,East Hartford Rentschler,EHT,-05:00,America/New_York
EHU,Ezhou Huahu,EHU,+08:00,Asia/Shanghai
EIA,Eia Popondetta,EIA,+10:00,Pacific/Port_Moresby
EIB,Eisenach Kindel,EIB,+01:00,Europe/Berlin
EIE,Yeniseysk,EIE,+07:00,Asia/Tomsk
EIH,Einasleigh,EIH,+10:00,Australia/Brisbane
EIK,Yeysk,EIK,+03:00,Europe/Moscow
EIL,Fairbanks Eielson Afb,FAI,-09:00,America/Anchorage
EIN,Eindhoven,EIN,+01:00,Europe/Amsterdam
EIS,Tortola Terrence B Lettsome,TOV,-04:00,America/Tortola
EIY,Ein Yahav,EIY,+02:00,Asia/Jerusalem
EIZ,Eisenach Central Station,EIB,+01:00,Europe/Berlin
EJA,Barrancabermeja Yariguies,EJA,-05:00,America/Bogota
EJH,Wedjh,EJH,+03:00,Asia/Riyadh
EJJ,Jingzhou Rail Station,SHS,+08:00,Asia/Shanghai
EJN,Ejina Banner Taolai Airport,EJN,+08:00,Asia/Shanghai
EJQ,Shiyan Rail Station,KHN,+08:00,Asia/Shanghai
EJT,Enejet Island,EJT,+12:00,Pacific/Majuro
EKA,Arcata/Eureka Murray Field,ACV,-08:00,America/Los_Angeles
EKB,Ekibastuz,EKB,+06:00,Asia/Almaty
EKD,Elkedra,EKD,+09:30,Australia/Darwin
EKE,Ekereku,EKE,-04:00,America/Guyana
EKG,Beijing Bawangfen Bus Station,BJS,+08:00,Asia/Shanghai
EKI,Elkhart Municipal,EKI,-05:00,America/New_York
EKN,Elkins Randolph County,EKN,-05:00,America/New_York
EKO,Elko,EKO,-08:00,America/Los_Angeles
EKS,Shakhtersk,EKS,+11:00,Asia/Srednekolymsk
EKT,Eskilstuna Kjula,EKT,+01:00,Europe/Stockholm
EKX,Elizabethtown Regional-Addington Fld,EKX,-05:00,America/New_York
ELA,Eagle Lake,ELA,-06:00,America/Chicago
ELB,El Banco Las Flores,ELB,-05:00,America/Bogota
ELC,Elcho Island,ELC,+09:30,Australia/Darwin
ELD,El Dorado South Arkansas Rgnl,ELD,-06:00,America/Chicago
ELE,El Real,ELE,-05:00,America/Panama
ELF,El Fasher,ELF,+02:00,Africa/Khartoum
ELG,El Golea,ELG,+01:00,Africa/Algiers
ELH,North Eleuthera,ELH,-05:00,America/Nassau
ELI,Elim,ELI,-09:00,America/Anchorage
ELJ,El Recreo,ELJ,-05:00,America/Bogota
ELK,Elk City Regional Business,ELK,-06:00,America/Chicago
ELL,Ellisras Matimba,ELL,+02:00,Africa/Johannesburg
ELM,Elmira/Corning,ELM,-05:00,America/New_York
ELN,Ellensburg Bowers Field,ELN,-08:00,America/Los_Angeles
ELO,Eldorado,ELO,-03:00,America/Argentina/Buenos_Aires
