departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Paris/ Ch.de Gaulle,CDG,09:10,09:12,2B/D50,Munich,MUC,10:35,10:27,2/K03,LH,Lufthansa,LH2227,Flight Landed
Paris/ Ch.de Gaulle,CDG,09:50,09:54,2B/D67,Zurich,ZRH,11:15,11:04,,BT,Airbaltic,BT633,Flight Landed
Paris/ Ch.de Gaulle,CDG,10:05,10:01,2B/D52,Vienna,VIE,12:00,11:43,,OS,Austrian,OS412,Flight Landed
Paris/ Ch.de Gaulle,CDG,10:15,10:12,2B/D69,Brussels,BRU,11:10,11:05,,SN,Brussels Airlines,SN3634,Flight Landed
Paris/ Ch.de Gaulle,CDG,10:20,10:24,2B/D50,Frankfurt,FRA,11:35,11:32,1/Area A,LH,Lufthansa,LH1029,Flight Landed
Paris/ Ch.de Gaulle,CDG,11:15,11:23,2B/D50,Frankfurt,FRA,12:30,12:37,1/A21,LH,Lufthansa,LH1031,Flight Landed
Paris/ Ch.de Gaulle,CDG,11:20,11:20,2B/D66,Munich,MUC,12:45,12:42,2/G34,LH,Lufthansa,LH2229,Flight Landed
Hamburg,HAM,06:35,06:32,1/A20,Paris/ Ch.de Gaulle,CDG,08:15,08:07,,EW,Eurowings,EW7402,Flight Landed
Munich,MUC,06:50,06:51,2/K05,Paris/ Ch.de Gaulle,CDG,08:25,08:39,2B/D50,LH,Lufthansa,LH2226,Flight Landed
Zurich,ZRH,07:30,07:45,,Paris/ Ch.de Gaulle,CDG,09:00,09:08,2B/D67,BT,Airbaltic,BT632,Flight Landed
Vienna,VIE,07:05,07:08,3/F02,Paris/ Ch.de Gaulle,CDG,09:15,09:09,,OS,Austrian,OS411,Flight Landed
Brussels,BRU,08:15,08:27,,Paris/ Ch.de Gaulle,CDG,09:15,09:23,2B/D69,SN,Brussels Airlines,SN3633,Flight Landed
Frankfurt,FRA,09:15,09:27,1/A32,Paris/ Ch.de Gaulle,CDG,10:30,10:40,2B/D54,LH,Lufthansa,LH1030,Flight Landed
Munich,MUC,08:55,09:01,2/G48,Paris/ Ch.de Gaulle,CDG,10:30,10:45,2B/D66,LH,Lufthansa,LH2228,Flight Landed
London Heathrow,LHR,08:05,08:08,,Dusseldorf,DUS,10:30,10:11,,EW,Eurowings,EW9469,Flight Landed
London Heathrow,LHR,08:30,08:38,2/A17,Frankfurt,FRA,11:05,11:02,1/Area A,LH,Lufthansa,LH925,Flight Landed
London Heathrow,LHR,08:45,08:54,,Stuttgart,STR,11:25,11:26,,EW,Eurowings,EW2463,Flight Landed
London Heathrow,LHR,08:45,09:04,2/A19,Munich,MUC,11:35,11:40,2/L06,LH,Lufthansa,LH2471,Flight Landed
London Heathrow,LHR,08:50,08:48,,Hamburg,HAM,11:30,11:16,,EW,Eurowings,EW7465,Flight Landed
London Heathrow,LHR,08:50,09:26,2/A24,Zurich,ZRH,11:45,11:59,,LX,SWISS,LX317,Flight Landed
London Heathrow,LHR,09:00,09:12,2/A16,Geneva,GVA,11:40,11:48,,LX,SWISS,LX353,Flight Landed
London Heathrow,LHR,09:05,09:25,2/A25,Vienna,VIE,12:20,12:19,,OS,Austrian,OS452,Flight Landed
London Heathrow,LHR,09:30,09:33,2/A17,Frankfurt,FRA,12:05,12:09,1/Z19,LH,Lufthansa,LH901,Flight Landed
London Heathrow,LHR,09:45,09:48,,Cologne/Bonn,CGN,12:10,12:15,1/D99,EW,Eurowings,EW461,Flight Landed
London Heathrow,LHR,10:30,11:17,2/A19,Frankfurt,FRA,13:05,13:39,1/B20,LH,Lufthansa,LH903,Flight Landed
London Heathrow,LHR,11:05,11:08,,Brussels,BRU,13:10,13:02,,SN,Brussels Airlines,SN2094,Flight Landed
London Heathrow,LHR,11:10,11:28,2/A26,Munich,MUC,14:00,14:02,2/H24,LH,Lufthansa,LH2473,Flight Landed
London Heathrow,LHR,11:30,11:32,2/A17,Frankfurt,FRA,14:05,13:51,1/B26,LH,Lufthansa,LH905,Flight Landed
Stuttgart,STR,07:10,07:11,1/124,London Heathrow,LHR,08:00,07:57,,EW,Eurowings,EW2462,Flight Landed
Munich,MUC,07:00,07:00,2/H40,London Heathrow,LHR,08:05,08:15,,LH,Lufthansa,LH2470,Flight Landed
Zurich,ZRH,07:15,07:31,,London Heathrow,LHR,08:05,08:23,,LX,SWISS,LX316,Flight Landed
Hamburg,HAM,07:20,07:21,1/B47,London Heathrow,LHR,08:10,08:00,,EW,Eurowings,EW7464,Flight Landed
Geneva,GVA,07:25,07:37,,London Heathrow,LHR,08:15,08:08,,LX,SWISS,LX352,Flight Landed
Vienna,VIE,06:50,07:01,3/G37,London Heathrow,LHR,08:20,08:30,,OS,Austrian,OS451,Flight Landed
Cologne/Bonn,CGN,08:25,08:35,1/D82,London Heathrow,LHR,09:05,09:13,,EW,Eurowings,EW460,Flight Landed
Brussels,BRU,09:40,09:57,,London Heathrow,LHR,10:05,10:19,,SN,Brussels Airlines,SN2093,Flight Landed
Munich,MUC,09:20,09:26,2/L10,London Heathrow,LHR,10:25,10:39,,LH,Lufthansa,LH2472,Flight Landed
Frankfurt,FRA,10:00,09:59,1/B27,London Heathrow,LHR,10:45,10:45,,LH,Lufthansa,LH904,Flight Landed
Zurich,ZRH,10:25,10:34,,London Heathrow,LHR,11:25,11:21,,2L,Helvetic Airways,2L318,Flight Landed
Dusseldorf,DUS,11:00,11:03,,London Heathrow,LHR,11:35,11:23,,EW,Eurowings,EW9466,Flight Landed
Rome,FCO,08:25,08:28,1/A69,Munich,MUC,09:55,09:56,2/G48,LH,Lufthansa,LH1873,Flight Landed
Rome,FCO,09:40,09:51,1/A65,Zurich,ZRH,11:20,11:21,,BT,Airbaltic,BT1727,Flight Landed
Rome,FCO,10:10,10:21,1/A62,Frankfurt,FRA,12:05,12:18,1/Area A,LH,Lufthansa,LH231,Flight Landed
Rome,FCO,10:15,10:27,1/A68,Vienna,VIE,11:55,11:56,,OS,Austrian,OS502,Flight Landed
Rome,FCO,10:20,10:40,,Brussels,BRU,12:35,12:51,,SN,Brussels Airlines,SN3176,Flight Landed
Rome,FCO,11:00,11:12,1/A67,Munich,MUC,12:30,12:36,2/G44,LH,Lufthansa,LH1865,Flight Landed
Zurich,ZRH,07:20,07:21,,Rome,FCO,08:50,08:44,,BT,Airbaltic,BT1726,Flight Landed
Frankfurt,FRA,07:10,07:31,1/A21,Rome,FCO,08:55,09:10,,LH,Lufthansa,LH230,Flight Landed
Vienna,VIE,07:55,07:58,3/F10,Rome,FCO,09:30,09:28,,OS,Austrian,OS501,Flight Landed
Brussels,BRU,07:30,07:32,,Rome,FCO,09:30,09:27,,SN,Brussels Airlines,SN3175,Flight Landed
Munich,MUC,08:40,08:42,2/K12,Rome,FCO,10:10,10:10,,LH,Lufthansa,LH1864,Flight Landed
Munich,MUC,08:40,08:40,2/K20,Madrid,MAD,11:20,11:22,,LH,Lufthansa,LH1800,Flight Landed
Brussels,BRU,09:20,09:34,,Madrid,MAD,11:45,11:52,,SN,Brussels Airlines,SN3721,Flight Landed
Dublin,DUB,08:35,08:37,1/307A,Frankfurt,FRA,11:35,11:34,1/Z21,LH,Lufthansa,LH977,Flight Landed
Dublin,DUB,10:40,10:35,1/301,Munich,MUC,13:55,13:46,2/H44,LH,Lufthansa,LH2517,Flight Landed
Dublin,DUB,12:00,12:02,1/301,Frankfurt,FRA,15:00,15:14,1/Z25,4Y,Airbus Transport International,4Y979,Flight Landed
Munich,MUC,08:25,08:26,2/H40,Dublin,DUB,09:55,09:46,,LH,Lufthansa,LH2516,Flight Landed
Frankfurt,FRA,09:50,10:05,1/306,Dublin,DUB,10:55,11:14,,4Y,Airbus Transport International,4Y978,Flight Landed
Frankfurt,FRA,10:35,10:42,1/Z15,Dublin,DUB,11:46,11:57,,4Y,Airbus Transport International,4Y444,Flight Diverted
Zurich,ZRH,10:30,10:28,,Dublin,DUB,11:50,11:57,,LX,SWISS,LX400,Flight Landed
Frankfurt,FRA,09:30,09:33,1/A22,Lisbon,LIS,11:35,11:51,,LH,Lufthansa,LH1166,Flight Landed
Zurich,ZRH,10:15,10:17,,Lisbon,LIS,11:50,12:11,,LX,SWISS,LX2086,Flight Landed
